,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
85,None,None,None,None,None,None,None,None,None,None,None,None,ਡਾਇਨਾਸੌਰ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Animalia
86,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
87,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,musician
88,None,None,None,None,Marathi,None,None,Mahabharata,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
89,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,percussionist
90,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,historian
92,None,None,None,None,Arabic,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,behavior,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,philosophy
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,documentary film
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,politeness,None,None,None,None,None,None,None,mores
98,None,None,None,None,None,Dada,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Orthodox Christian,Transnational Radical Party,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,comics
100,None,None,None,None,None,None,None,None,None,None,None,None,None,European Union,None,None,None,None,None,None,None,None,None,None,None,None,None,None,political party
101,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
102,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,actor
103,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,folk tale
104,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,mirabilia
105,Spain,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,folk dance
106,Australia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,coffee drink
107,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,history,None,None,None,None,None,None,None,None,None,None,None,None,tradition
108,None,None,None,None,None,None,None,None,None,1971 Formula One season,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Anglicanism,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None,Storming of the Bastille,None,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
112,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,organism
113,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
114,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,clothing,None,None,None,None,None,None,None,woven fabric
115,None,None,None,None,None,None,None,None,None,None,None,Switzerland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
116,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,non-fiction writer
117,None,None,English people,None,None,None,dystopian literature,None,None,None,None,None,None,None,None,None,None,None,None,None,None,socialism,atheism,Independent Labour Party,None,None,None,None,None
118,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Art Nouveau,None,None,None,None,None,None,None,None,None,None,None,None,None
119,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,athlete
120,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,sports equipment
121,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,designer
122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ritual
123,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Hamburger,cuisine of the United States,None,None,eating,None,None,None,None,None,None,None,burger
124,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Reform Architecture
125,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
126,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Judaism,None,None,None,None,None,kohen
127,None,None,None,None,None,None,None,None,None,None,None,United Kingdom,None,United Kingdom,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
128,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Documenta 6,None,None,None,None
129,None,None,None,None,None,None,None,None,None,None,None,South Korea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
130,None,Byzantine culture,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,painting
131,None,None,None,None,None,None,None,None,None,None,None,Canada,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
132,None,None,None,None,None,None,None,None,None,None,None,Germany,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,city
133,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
134,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,psychology terminology,None,None,None,None,None,None,None,None,None,None,None,None,philosopher
135,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
136,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,poetry
137,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Jewish people,None,None,None,None,None,None
138,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,visual arts
139,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,man,None,None,None,None,None,None,None,None,supporter
140,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
141,Deutsches Kaiserreich,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Jugendstil,None,None,None,None,None,None,None,None,None,None,None,Art Nouveau
142,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Catholicism,None,None,None,None,None,None
143,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
144,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,philosopher
145,Japan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
146,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
147,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,None,None,None,None,None,None,None,None,None,None,None,South Korea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,Italy,None,None,None,None,None,None,None,None,None,None,France,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,food
150,None,None,None,None,Armenian,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,liturgical book
151,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
152,Canada,None,None,None,None,None,punk rock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,None,None,None,None,English,None,computer science,Unix,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
154,Canada,None,None,None,None,None,hip-hop,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
155,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,historian
156,None,None,None,English,None,None,None,None,None,1908 Summer Olympics,None,United Kingdom,None,None,None,None,London,None,None,None,None,None,None,None,None,None,None,None,None
157,None,None,None,None,None,None,lyricism,None,None,None,None,None,None,None,None,None,λυρικός,None,None,None,None,None,None,None,None,None,None,None,poetry
158,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Sunni Islam
159,Japan,None,None,None,None,None,None,None,None,None,None,Japan,None,None,None,anime and manga genre,漫画,None,None,None,None,None,None,None,None,None,None,None,comics
160,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,religion
161,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,drawing
162,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Swedish Social Democratic Party,None,None,None,None,None
163,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,close combat,None,None,None,None,None,None,None,art
164,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,architect
165,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,monument
166,None,None,None,None,None,None,None,None,None,None,None,Syria,None,None,None,Ancient City of Damascus,None,None,None,None,None,None,None,None,None,None,None,None,None
167,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ritual
168,None,None,None,None,None,None,None,None,None,None,None,Russia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,techno,None,None,None,None,None,None,None,None,None,None,None,None,dance
170,None,None,None,None,None,None,None,None,None,None,None,Bolivia,None,None,None,None,None,None,None,None,None,None,anabaptism,None,None,None,None,None,Mennonites
171,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,atheism,Democratic Party,None,None,None,None,None
172,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,environment
173,None,None,None,None,None,None,None,None,None,None,None,Turkey,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
174,None,None,Italians,None,None,High Renaissance,Christian art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Catholicism,None,None,None,None,None,None
175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
176,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
177,None,None,None,None,None,prose,science fiction,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Eastern Orthodoxy,None,None,None,None,None,None
178,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,building
179,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,actor
180,None,None,None,None,None,None,None,None,None,None,None,Israel,None,None,None,None,None,None,None,None,None,None,Judaism,None,None,None,None,None,Judaism
181,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
182,None,None,None,None,None,classicism,comedy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
183,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,planetary nomenclature,None,None,None,None,None,None,None,None,None,None,None,None,mountain
184,None,None,None,None,None,None,None,None,None,restitution of Nazi-looted art,None,France,None,None,None,Établissement public du musée d'Orsay et du musée de l'Orangerie,Musée d’Orsay,None,None,None,None,None,None,None,None,None,None,None,None
185,Europe,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,play
186,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
187,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,baroque architecture
188,None,None,None,None,None,None,None,None,None,None,None,Poland,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,music festival
189,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
190,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,Nebula Award,None,None,None,None,None,None,None,None,None,None,None,literary award
191,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,New York Film Festival,None,None,None,None,None,None,None,None,None,None,None,None
192,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,magazine
193,None,None,None,None,None,None,None,None,None,None,None,United States,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
194,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,head movements
195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,exploitation film
196,United States,None,None,None,None,None,adventure film,Felis silvestris catus,None,première,New York,None,None,None,Oliver Twist,None,None,None,None,None,None,None,None,None,None,None,None,None,None
197,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,cross-gender acting
198,Europe,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,classical music
199,Italy,None,None,None,None,None,None,None,None,None,None,Italy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,marionette theatre
200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,manga
201,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,grammar,None,None,None,None,orthographic dictionary,None,None,None,None,None,None,None,policy
202,None,None,None,None,None,None,None,None,None,None,None,None,硬骨鱼亚纲,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,fish
203,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,religion
204,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,paint-on-glass animation film,None,None,None,None,None,None,None,animation
205,None,None,None,None,None,None,None,None,None,None,None,Mexico,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
206,None,None,None,None,None,None,parody,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,philosophy
