,subclass_ofLabel
521,multi-sport event
522,None
523,None
524,None
525,None
526,None
527,None
528,None
529,food
530,noodle
531,None
532,None
533,sport
534,street hockey
535,None
536,None
537,None
538,performing arts
539,educator
540,None
541,None
542,textile
543,None
544,None
545,musical group
546,conductor
547,musician
548,instrumentalist
549,energy drink
550,None
551,None
552,law
553,food
554,neighborhood
555,None
556,dish
557,building
558,tree
559,None
560,None
561,None
562,building
563,None
564,None
565,None
566,None
567,None
568,fish
569,None
570,None
571,poet
572,woman
573,None
574,communal work
575,None
576,None
577,None
578,None
579,None
580,None
581,neighborhood
582,None
583,None
584,None
585,None
586,None
587,fish
588,building material
589,ball
590,cold weapon
591,glove
592,athlete
593,mud
594,architectural element
595,line segment
596,carrier
597,None
598,None
599,None
600,athlete
601,None
602,sport
603,fish
604,city
605,None
606,building
607,art of painting
608,None
609,None
610,ray fish
611,sport
612,armed conflict
613,None
614,None
615,None
616,None
617,None
618,None
619,erotic film
620,None
621,Yakshagana
622,None
623,None
624,None
625,None
626,None
627,None
628,shore
629,None
630,None
631,Animalia
632,dance
633,posthumous recognition
634,None
635,None
636,hand gesture
637,textile
638,river
639,None
640,nest
641,drink
642,documentary film
643,religious leader
644,None
645,None
646,None
647,None
648,city
649,None
650,None
651,None
652,clothing
653,architectural structure
654,architectural structure
655,None
656,None
657,politician
658,ritual
659,None
660,None
661,None
662,None
663,None
664,None
665,None
666,None
667,None
668,None
669,None
670,None
671,None
672,None
673,None
674,None
675,None
676,None
677,None
678,None
679,None
680,None
681,book
682,model
683,None
684,pastry
685,musical group
686,concrete
687,sports club
688,None
689,None
690,None
691,None
692,None
693,writer
694,food
695,social movement
696,poet
697,literary award
698,None
699,None
700,sport
701,None
702,Plantae
703,sport
704,golf club
705,Animalia
706,politician
707,political party
708,None
709,None
710,None
711,fish
712,building
713,None
714,None
715,chemist
716,film
717,biologist
718,biologist
719,organism
720,juice
721,None
722,None
723,None
724,bishop
725,None
726,None
727,building material
728,building material
729,dance
730,Scotch whisky
731,None
732,None
733,None
734,None
735,None
736,None
737,None
738,None
739,method
740,book
741,None
742,textile
743,statute
744,Animalia
745,cricket
746,musician
747,film
748,None
749,None
750,ritual
751,None
752,None
753,musician
754,sports club
755,building
756,None
757,None
758,None
759,artist
760,book
761,textile
762,None
763,None
764,textile
765,industrial building
766,drink
767,recurring sporting event
768,None
769,None
770,cinema of India
771,None
772,None
773,religion
774,sex toy
775,None
776,None
777,drink
778,visual arts
779,None
780,visual arts
781,book
782,book
783,None
784,None
785,None
786,city
787,None
788,None
789,None
790,dance
791,biologist
792,food
793,textile
794,poetry
795,None
796,gesture
797,athlete
798,ball
799,sports equipment
800,athlete
801,vocal group
802,None
803,organism
804,literary award
805,river
806,magazine
807,literary award
808,religious leader
809,None
810,None
811,None
812,None
813,Plantae
814,None
815,None
816,None
817,sports equipment
818,None
819,None
820,None
821,building material
822,Gothic architecture
823,building material
824,thoroughfare
825,None
826,None
827,None
828,None
829,None
830,None
831,None
832,magazine
833,literary award
834,None
835,None
836,None
837,modern paganism
838,None
839,None
840,None
841,None
842,None
843,None
844,None
845,None
846,waffle
847,None
848,None
849,None
850,literary award
851,None
852,textile
853,None
854,Indian religions
855,film
856,None
857,construction (economic activity)
858,building of ships and boats
859,photovoltaics
860,traditional costume
861,book
862,None
863,None
864,building material
865,clothing
866,sled
867,None
868,noodle
869,traditional costume
870,None
871,None
872,sports equipment
873,None
874,book
875,None
876,None
877,None
878,boundary marker
879,automobile manufacturer
880,bus stop
881,political party
882,music festival
883,None
884,None
885,None
886,narrative song
887,None
888,Byzantine art
889,law
890,None
891,None
892,None
893,ministry
894,museum
895,cabinet
896,cabinet
897,None
898,painting
899,None
900,mode of transport
901,transport
902,politician
903,drink
904,soft drink
905,None
906,ceiling
907,None
908,tree
909,None
910,None
911,None
912,None
913,None
914,None
915,artist
916,fraternal organization
917,None
918,None
919,None
920,Plantae
921,Plantae
922,None
923,None
924,designer
925,Plantae
926,None
927,None
928,building
929,Ancient Semitic religion
930,None
931,None
932,infrastructure
933,policy
934,political party
935,law
936,posthumous recognition
937,tourist attraction
938,song
939,None
940,None
941,None
942,None
943,politician
944,None
945,None
946,autobiography
947,None
948,None
949,city
950,spaghetti
951,dish
952,None
953,None
954,government
955,airline
956,sport
957,keyboardist
958,None
959,None
960,None
961,None
962,None
963,None
964,None
965,None
966,None
967,None
968,None
969,None
970,None
971,None
972,None
973,dish
974,None
975,None
976,None
977,transport
978,None
979,noodle
980,None
981,pornography
982,None
983,palacio
984,alcoholic beverage
985,drink
986,None
987,fish
988,dismissal
989,None
990,magazine
991,artist
992,None
993,None
994,None
995,None
996,None
997,creature suit
998,academic work
999,None
1000,None
1001,None
1002,None
1003,transport
1004,None
1005,humorous literature
1006,agreement
1007,None
1008,None
1009,mural
1010,computer animation
1011,drink
1012,religious leader
1013,geographic location
1014,None
1015,religion
1016,building material
1017,building material
1018,architectural structure
1019,dessert
1020,None
1021,None
1022,innovation
1023,grave
1024,human settlement
1025,None
1026,geographic location
1027,neighborhood
1028,government
1029,government
1030,None
1031,None
1032,None
1033,None
1034,None
1035,museum
1036,tree
1037,dance
1038,None
1039,None
1040,None
1041,None
1042,None
1043,folk dance
1044,fence
1045,politician
1046,food
1047,None
1048,folk dance
1049,None
1050,non-alcoholic beverage
1051,politician
1052,None
1053,None
1054,drink
1055,poet
1056,building
1057,folk dance
1058,government agency
1059,musical group
1060,musical group
1061,musical group
1062,theatre
1063,None
1064,None
1065,None
1066,None
1067,None
1068,literary award
1069,None
1070,jinete
1071,None
1072,architectural style
1073,None
1074,None
1075,None
1076,None
1077,cooking technique
1078,sport
1079,None
1080,athlete
1081,None
1082,textile
1083,cook
1084,None
1085,cook
1086,None
1087,clothing
1088,Plantae
1089,None
1090,None
1091,sports club
1092,athlete
1093,None
1094,suiting
1095,None
1096,None
1097,None
1098,drink
1099,literature
1100,dish
1101,architect
1102,writer
1103,cook
1104,child
1105,child
1106,None
1107,government agency
1108,literary award
1109,writer
1110,None
1111,stew
1112,Plantae
1113,None
1114,None
1115,None
1116,None
1117,clothing
1118,poetry
1119,tea
1120,None
1121,None
1122,None
1123,None
1124,drink
1125,cake
1126,dessert
1127,dish
1128,drama
1129,cartography
1130,food
1131,None
1132,None
1133,None
1134,None
1135,music festival
1136,None
1137,None
1138,philosophy
1139,tradition
1140,None
1141,None
1142,literary award
1143,None
1144,tradition
1145,None
1146,None
1147,historian
1148,None
1149,None
1150,None
1151,None
1152,None
1153,None
1154,None
1155,building
1156,None
1157,musician
1158,None
1159,None
1160,None
1161,ritual
1162,None
1163,Plantae
1164,None
1165,poetry
1166,None
1167,None
1168,None
1169,lamb dish
1170,building
1171,None
1172,None
1173,comedy film
1174,None
1175,None
1176,confection
1177,chicken dish
1178,ritual
1179,None
1180,multi-sport event
1181,None
1182,musician
1183,None
1184,tree
1185,neighborhood
1186,administrative territorial entity
1187,None
1188,city
1189,city
1190,city
1191,bunker
1192,None
1193,law
1194,government agency
1195,city
1196,None
1197,building material
1198,tree
1199,None
1200,Jewish literature
1201,guitarist
1202,musician
1203,pianist
1204,magazine
1205,None
1206,None
1207,None
1208,None
1209,stop-motion
1210,None
1211,shooting sport
1212,None
1213,fish
1214,drink
1215,None
1216,river
1217,None
1218,None
1219,None
1220,athlete
1221,sports club
1222,biologist
1223,government agency
1224,building of pleasure and sporting boats
1225,tradition
1226,folk dance
1227,None
1228,None
1229,clothing
1230,clothing
1231,clothing
1232,information security
1233,fish
1234,None
1235,None
1236,None
1237,None
1238,musical group
1239,automobile manufacturer
1240,None
1241,government
1242,government agency
1243,fish
1244,None
1245,modern paganism
1246,food
1247,food
1248,food
1249,None
1250,None
1251,document
1252,None
1253,book
1254,None
1255,None
1256,None
1257,fish
1258,None
1259,None
1260,None
1261,law
1262,book
1263,policy
1264,sport
1265,city
1266,None
1267,None
1268,clothing
1269,None
1270,television
1271,comics artist
1272,magazine
1273,architectural element
1274,None
1275,writer
1276,None
1277,sculpture
1278,transport
1279,None
1280,None
1281,comedy
1282,film
1283,comedy
1284,book
1285,comics
1286,comics
1287,comics
1288,narrative
1289,magazine
1290,comics
1291,comics
1292,poetry
1293,None
1294,neighborhood
1295,None
1296,government
1297,None
1298,law
1299,Asteraceae
1300,None
1301,tradition
1302,tradition
1303,None
1304,None
1305,law
1306,juridical person
1307,neighborhood
1308,politician
1309,museum
1310,theatre performance
1311,None
1312,book
1313,athlete
1314,law
1315,athlete
1316,film
1317,None
1318,architectural structure
1319,None
1320,building material
1321,philosophy
1322,animation
1323,None
1324,None
1325,musical
1326,music festival
1327,film
1328,None
1329,musician
1330,drink
1331,building material
1332,poetry
1333,ritual
1334,artist
1335,poetry
1336,None
1337,geographic location
1338,Eastern philosophy
1339,None
1340,mountain
1341,None
1342,None
1343,None
1344,political party
1345,None
1346,None
1347,persuasive writing
1348,None
1349,None
1350,None
1351,None
1352,None
1353,magazine
1354,art gallery
1355,None
1356,religious movement
1357,modern paganism
1358,artist
1359,philosophy
1360,writer
1361,None
1362,folk dance
1363,neighborhood
1364,None
1365,transport
1366,pastry
1367,manga
1368,championship
1369,None
1370,None
1371,None
1372,None
1373,copyright
1374,policy
1375,fish
1376,None
1377,literature
1378,city
1379,None
1380,dry gin
1381,None
1382,None
1383,None
1384,brass player
1385,non-commissioned officer
1386,wrestling
1387,investiture
1388,law
1389,government
1390,writer
1391,galvanized sheet steel
1392,None
1393,literary award
1394,clothing
1395,clothing
1396,book
1397,stew
1398,None
1399,None
1400,None
1401,politician
1402,city
1403,rowing regatta
1404,government agency
1405,government
1406,arbitration
1407,food
1408,model
1409,model
1410,textile
1411,None
1412,vodka
1413,mountain
1414,None
1415,Plantae
1416,None
1417,mixing
1418,organism
1419,None
1420,museum
1421,actor
1422,None
1423,None
1424,costume
1425,None
1426,None
1427,food
1428,athlete
1429,None
1430,film
1431,law
1432,actor
1433,None
1434,non-fiction writer
1435,None
1436,philosophical movement
1437,None
1438,critique
1439,war memorial
1440,crucifix
1441,church building
1442,None
1443,government agency
1444,None
1445,None
1446,None
1447,Russian Futurism
1448,food
1449,sports equipment
1450,culture
1451,None
1452,film
1453,neighborhood
1454,None
1455,building
1456,None
1457,None
1458,gesture
1459,stop-motion
1460,celebration
1461,sports club
1462,sports team
1463,sports equipment
1464,None
1465,tree
1466,None
1467,poetry
1468,Cubism
1469,philosophy
1470,motorcycle race
1471,traditional costume
1472,textile
1473,avant-garde
1474,religious movement
1475,None
1476,None
1477,None
1478,religion
1479,None
1480,None
1481,None
1482,None
1483,None
1484,levee
1485,dish
1486,None
1487,undergarment
1488,dance troupe
1489,sport
1490,None
1491,None
1492,None
1493,None
1494,None
1495,None
1496,None
1497,None
1498,musical group
1499,None
1500,None
1501,building
1502,None
1503,Romanticism
1504,None
1505,None
1506,magazine
1507,broth
1508,government agency
1509,None
1510,None
1511,None
1512,None
1513,None
1514,None
1515,None
1516,None
1517,None
1518,None
1519,None
1520,religious movement
1521,building
1522,transport
1523,recurring sporting event
1524,None
1525,None
1526,dance
1527,book
1528,laminate
1529,religious leader
1530,philosophy
1531,None
1532,None
1533,None
1534,None
1535,religion
1536,None
1537,None
1538,government agency
1539,food
1540,None
1541,politician
1542,geographic location
1543,fish
1544,None
1545,None
1546,None
1547,None
1548,political party
1549,None
1550,None
1551,None
1552,textile
1553,None
1554,None
1555,government agency
1556,government agency
1557,None
1558,None
1559,None
1560,politician
1561,politician
1562,None
1563,medieval music
1564,artist
1565,None
1566,street performance
1567,tourist attraction
1568,None
1569,None
1570,None
1571,None
1572,literary award
1573,politics
1574,food
1575,None
1576,None
1577,painting
1578,None
1579,folk dance
1580,None
1581,naturalism
1582,None
1583,architectural structure
1584,None
1585,None
1586,None
1587,None
1588,None
1589,None
1590,None
1591,None
1592,None
1593,comics
1594,poetry
1595,policy
1596,dessert
1597,None
1598,museum
1599,None
1600,None
1601,government
1602,None
1603,None
1604,None
1605,Greco-Roman mysteries
1606,None
1607,government agency
1608,None
1609,artist
1610,government agency
1611,book
1612,dress
1613,None
1614,None
1615,None
1616,comics
1617,None
1618,law
1619,None
1620,neighborhood
1621,None
1622,government
1623,tower
1624,None
1625,building
1626,None
1627,None
1628,None
1629,documentary
1630,sport
1631,None
1632,manga
1633,None
1634,None
1635,mooring
1636,sculpture
1637,architectural structure
1638,None
1639,domestic worker
1640,Animalia
1641,None
1642,political party
1643,None
1644,None
1645,None
1646,None
1647,None
1648,None
1649,None
1650,None
1651,None
1652,Korean philosophy
1653,None
1654,None
1655,None
1656,None
1657,None
1658,film
1659,cow's-milk cheese
1660,mountain
1661,instrumentalist
1662,painting
1663,clothing
1664,None
1665,None
1666,chill-out music
1667,neighborhood
1668,None
1669,film
1670,None
1671,writer
1672,animation
1673,None
1674,None
1675,None
1676,None
1677,clothing
1678,herring salad
1679,sports team
1680,drink
1681,None
1682,geographic location
1683,building
1684,musician
1685,dish
1686,None
1687,transport
1688,poetry
1689,None
1690,None
1691,poetry
1692,None
1693,None
1694,None
1695,None
1696,brick
1697,None
1698,philosophy
1699,mushroom dish
1700,None
1701,None
1702,sports club
1703,None
1704,None
1705,None
1706,school of Buddhism
1707,political party
1708,classical music
1709,religion
1710,architectural structure
1711,painting technique
1712,None
1713,None
1714,tradition
1715,None
1716,philosophy
1717,religion
1718,Cartesian coordinate system
1719,dish
1720,None
1721,None
1722,book
1723,None
1724,neighborhood
1725,visual arts
1726,building
1727,scientist
1728,museum
1729,philosophy
1730,Animalia
1731,Animalia
1732,None
1733,None
1734,None
1735,city
1736,None
1737,Animalia
1738,None
1739,None
1740,None
1741,book
1742,None
1743,None
1744,None
1745,None
1746,None
1747,technological utopianism
1748,None
1749,None
1750,dim sum
1751,None
1752,None
1753,None
1754,mythology
1755,None
1756,temple
1757,None
1758,None
1759,None
1760,None
1761,None
1762,None
1763,None
1764,neighborhood
1765,None
1766,None
1767,None
1768,folk dance
1769,None
1770,greeting
1771,religious leader
1772,monument
1773,fish
1774,motor vehicle
1775,magazine
1776,sports equipment
1777,musician
1778,None
1779,machine
1780,None
1781,political party
1782,None
1783,None
1784,None
1785,None
1786,None
1787,None
1788,None
1789,None
1790,None
1791,votive offering
1792,None
1793,None
1794,book
1795,organism
1796,Plantae
1797,None
1798,None
1799,None
1800,politician
1801,None
1802,None
1803,None
1804,None
1805,None
1806,wall
1807,government agency
1808,None
1809,construction (economic activity)
1810,None
1811,museum
1812,None
1813,river
1814,biologist
1815,None
1816,Plantae
1817,automobile manufacturer
1818,England national rugby league team
1819,poetry
1820,multi-sport event
1821,None
1822,poetry
1823,None
1824,None
1825,None
1826,dance
1827,dish
1828,building material
1829,None
1830,organism
1831,film
1832,anaphora
1833,Church of England parish church
1834,funeral inscription
1835,None
1836,transport
1837,sport
1838,None
1839,None
1840,None
1841,None
1842,Plantae
1843,ritual
1844,None
1845,None
1846,None
1847,None
1848,None
1849,None
1850,None
1851,None
1852,None
1853,literary award
1854,None
1855,None
1856,dance
1857,sex worker
1858,ritual
1859,None
1860,None
1861,traditional costume
1862,None
1863,food
1864,larva
1865,philosophy
1866,tree
1867,geographic location
1868,sport
1869,corn salad
1870,None
1871,None
1872,None
1873,state-owned enterprise
1874,woven fabric
1875,government agency
1876,fibre cement
1877,None
1878,neighborhood
1879,political party
1880,religion
1881,None
1882,philosophy
1883,None
1884,None
1885,None
1886,None
1887,tree
1888,None
1889,None
1890,tree
1891,None
1892,basketball tournament
1893,None
1894,European championship
1895,European championship
1896,fish
1897,law
1898,European Union
1899,spy film
1900,dance
1901,None
1902,None
1903,None
1904,None
1905,Plantae
1906,None
1907,ritual
1908,None
1909,biologist
1910,ritual
1911,exception
1912,None
1913,None
1914,government agency
1915,producer
1916,anecdote
1917,sports equipment
1918,expert
1919,None
1920,sheet metal
1921,policy
1922,film
1923,Animalia
1924,tree
1925,clothing
1926,gesture
1927,government agency
1928,organism
1929,environment
1930,ironing
1931,sport
1932,organism
1933,None
1934,None
1935,greeting
1936,gesture
1937,architectural structure
1938,None
1939,silversmith
1940,gesture
1941,modern paganism
1942,None
1943,None
1944,award ceremony
1945,political party
1946,sport
1947,None
1948,None
1949,None
1950,None
1951,None
1952,None
1953,tradition
1954,None
1955,magazine
1956,None
1957,fantasy
1958,fantasy
1959,None
1960,sports club
1961,folk dance
1962,None
1963,city
1964,None
1965,None
1966,None
1967,None
1968,None
1969,None
1970,None
1971,None
1972,None
1973,film
1974,city
1975,None
1976,NASCAR Xfinity Series race
1977,None
1978,None
1979,None
1980,None
1981,None
1982,None
1983,None
1984,mountain
1985,None
1986,textile
1987,injury in humans
1988,organism
1989,bookstore
1990,None
1991,None
1992,organism
1993,literary award
1994,None
1995,None
1996,None
1997,None
1998,Wicca
1999,sacramental bread
2000,None
2001,None
2002,building material
2003,station
2004,ritual
2005,tree
2006,food
2007,None
2008,book
2009,None
2010,None
2011,None
2012,None
2013,None
2014,clothing
2015,magazine
2016,organism
2017,formula racing
2018,None
2019,WTCC race
2020,poetry
2021,basketball tournament
2022,recurring sporting event
2023,cement
2024,tree
2025,musician
2026,seafood dish
2027,book
2028,building material
2029,sport
2030,None
2031,visual arts
2032,shoe
2033,sports club
2034,None
2035,embroidery
2036,None
2037,science fiction fandom
2038,actor
2039,film
2040,comics
2041,profession
2042,None
2043,film
2044,media company
2045,None
2046,None
2047,None
2048,private press
2049,smoked haddock
2050,government
2051,visual arts
2052,firefighting equipment
2053,steam locomotive
2054,None
2055,None
2056,None
2057,None
2058,cold weapon
2059,greeting
2060,gesture
2061,model
2062,None
2063,transport company
2064,None
2065,Plantae
2066,building material
2067,computer animation
2068,fish
2069,textile
2070,None
2071,recurring sporting event
2072,None
2073,None
2074,sled
2075,None
2076,scientific publication
2077,designer
2078,sports club
2079,None
2080,None
2081,None
2082,None
2083,music festival
2084,None
2085,sports club
2086,sports equipment
2087,Animalia
2088,airplane
2089,None
2090,building material
2091,None
2092,None
2093,traditional costume
2094,traditional costume
2095,religion
2096,None
2097,visual arts
2098,None
2099,tradition
2100,model
2101,ball
2102,None
2103,sport
2104,athlete
2105,sports team
2106,clothing
2107,None
2108,Plantae
2109,Plantae
2110,None
2111,None
2112,painting
2113,organism
2114,None
2115,None
2116,None
2117,None
2118,ritual
2119,Animalia
2120,found footage
2121,None
2122,None
2123,dance
2124,ritual
2125,fixed construction
2126,None
2127,None
2128,None
2129,None
2130,None
2131,None
2132,None
2133,None
2134,None
2135,None
2136,None
2137,None
2138,None
2139,None
2140,None
2141,None
2142,None
2143,marathon
2144,None
2145,None
2146,None
2147,None
2148,None
2149,None
2150,None
2151,None
2152,None
2153,None
2154,None
2155,transport
2156,soup
2157,None
2158,food
2159,None
2160,None
2161,None
2162,None
2163,None
2164,None
2165,None
2166,None
2167,literary award
2168,None
2169,None
2170,None
2171,None
2172,None
2173,None
2174,None
2175,None
2176,None
2177,None
2178,food
2179,drink
2180,None
2181,None
2182,classical music
2183,None
2184,None
2185,None
2186,None
2187,None
2188,biscuit
2189,ritual
2190,textile
2191,clothing
2192,None
2193,folk dance
2194,building material
2195,None
2196,None
2197,None
2198,political party
2199,clothing in ancient Greece
2200,clothing
2201,None
2202,building material
2203,None
2204,comics
2205,halva
2206,None
2207,None
2208,None
2209,None
2210,dance
2211,None
2212,inventor
2213,fish
2214,None
2215,None
2216,book
2217,government agency
2218,government
2219,None
2220,crime film
2221,None
2222,None
2223,building
2224,cook
2225,designer
2226,modern paganism
2227,None
2228,None
2229,food
2230,None
2231,poetry
2232,None
2233,monument
2234,neighborhood
2235,None
2236,policy
2237,neighborhood
2238,behavior
2239,food
2240,None
2241,None
2242,None
2243,policy
2244,manga
2245,sugar product
2246,None
2247,religion
2248,historian
2249,book
2250,religious leader
2251,None
2252,government agency
2253,None
2254,religious leader
2255,None
2256,None
2257,executive branch
2258,None
2259,government agency
2260,None
2261,None
2262,Animalia
2263,fish
2264,tree
2265,biologist
2266,None
2267,geographic location
2268,geographic location
2269,None
2270,None
2271,None
2272,None
2273,None
2274,None
2275,None
2276,None
2277,None
2278,None
2279,None
2280,None
2281,tradition
2282,textile
2283,None
2284,None
2285,None
2286,None
2287,None
2288,None
2289,None
2290,woven fabric
2291,doll
2292,comics
2293,None
2294,None
2295,None
2296,xiaoshuo
2297,gesture
2298,dish
2299,None
2300,music genre
2301,folk dance
2302,None
2303,neighborhood
2304,writer
2305,None
2306,None
2307,book
2308,None
2309,Plantae
2310,food
2311,tea
2312,None
2313,None
2314,book
2315,None
2316,single-day road race
2317,None
2318,None
2319,None
2320,solid
2321,None
2322,None
2323,None
2324,None
2325,None
2326,None
2327,city
2328,tourist attraction
2329,building
2330,world view
2331,stop-motion
2332,athlete
2333,fish
2334,religious movement
2335,Ancient Celts
2336,None
2337,None
2338,None
2339,None
2340,film festival
2341,None
2342,sports club
2343,landscape architect
2344,athlete
2345,None
2346,poet
2347,None
2348,None
2349,None
2350,futurist architecture
2351,automobile manufacturer
2352,None
2353,Christian music
2354,magazine
2355,metal music
2356,None
2357,None
2358,None
2359,None
2360,literary award
2361,public administration
2362,cabinet
2363,government
2364,None
2365,None
2366,government
2367,None
2368,None
2369,government
2370,None
2371,None
2372,None
2373,government
2374,None
2375,government
2376,government
2377,government
2378,government
2379,None
2380,government
2381,None
2382,government
2383,cabinet
2384,government
2385,None
2386,None
2387,government
2388,government
2389,blind musician
2390,None
2391,None
2392,book
2393,None
2394,mufti
2395,None
2396,cycling race
2397,None
2398,None
2399,sorbet
2400,None
2401,None
2402,comics
2403,comics
2404,visual arts
2405,None
2406,Plantae
2407,mountain
2408,comics
2409,None
2410,None
2411,None
2412,religion
2413,tragedy
2414,None
2415,None
2416,None
2417,museum
2418,political party
2419,textile
2420,None
2421,None
2422,None
2423,None
2424,None
2425,None
2426,None
2427,None
2428,athlete
2429,book
2430,sports equipment
2431,None
2432,food
2433,athlete
2434,None
2435,extreme metal
2436,None
2437,None
2438,river
2439,None
2440,radio communication station
2441,building
2442,None
2443,None
2444,None
2445,None
2446,None
2447,None
2448,None
2449,religious leader
2450,None
2451,None
2452,None
2453,None
2454,policy
2455,None
2456,None
2457,None
2458,None
2459,None
2460,plucked instrument player
2461,None
2462,None
2463,religious leader
2464,relation
2465,None
2466,None
2467,None
2468,None
2469,None
2470,None
2471,None
2472,None
2473,None
2474,None
2475,building
2476,athlete
2477,magnesium carbonate
2478,sport
2479,concept
2480,building material
2481,None
2482,Shinto architecture
2483,None
2484,None
2485,None
2486,None
2487,None
2488,None
2489,clothing
2490,None
2491,fish
2492,None
2493,None
2494,None
2495,ritual
2496,sports equipment
2497,None
2498,church building
2499,house
2500,fish
